firstName,middleName,lastName,nameNick,pos,weight,height,birthDate
Fabricio,Raul Jesus,Oberto,,F,82,245,1975-03-21
John,W.,O'Boyle,,G,74,185,1928-03-07
Ralph,E.,O'Brien,"Buckshot, Buck",G,69,160,1928-04-08
Patrick,Fitzgerald,O'Bryant,,C,84,260,1986-06-20
Lamar,Joseph,Odom,,F,82,220,1979-11-06
Ralph,,Ogden,,F,77,205,1948-01-25
Francis,Brian,O'Hanlon,Fran,G,72.5,175,1948-08-24
Mehmet,,Okur,,C-F,83,249,1979-05-26
Hakeem,Abdul,Olajuwon,The Dream,C,82,250,1963-01-21
Mark,Allen,Olberding,,F,80,225,1956-04-21
Jawann,,Oldham,,C,84,215,1957-07-04
John,O.,Oldham,Johnny,G,75,175,1923-06-22
Frank,,Oleynick,Magic,G,74,185,1955-02-20
Brian,Darnell,Oliver,,G,76,210,1968-06-01
Dean,,Oliver,,G,71,175,1978-11-05
Jimmy,Allen,Oliver,,G-F,77,205,1969-07-12
John,,Olive,,F,79,210,1955-03-01
Kevin,Jermaine,Ollie,,G,76,195,1972-12-27
Michael,,Olowokandi,,C,84,269,1975-04-03
Jermaine,,O'Neal,,F-C,83,226,1978-10-13
Shaquille,Rashaun,O'Neal,Shaq,C,85,300,1972-03-06
Barry,D.,Orms,,G,75,190,1946-05-01
Louis,M.,Orr,Biafra,F,80,175,1958-05-07
Daniel,Joseph,Orton,,C,82,255,1990-08-06
Kevin,Christopher,O'Shea,,G,74,175,1925-07-10
Garland,Lee,O'Shields,Mule,G-F,73,195,1921-05-23
Mac,William,Otten,,F-C,79,220,1925-12-16
Travis,Marquez,Outlaw,,F,81,210,1984-09-18
Andre,,Owens,,G,76,200,1980-10-31
Billy,Eugene,Owens,,F-G,80,220,1969-05-01
Eddie,,Owens,,F,79,210,1953-12-26
Jim,,Owens,,F,77,200,1950-05-01
Keith,Kensel,Owens,,F,79,225,1969-05-31
Larry,,Owens,,F-G,79,210,1983-01-08
Olumide,,Oyedeji,,F-C,82,240,1981-05-11
Robert,John,Pack,,G,74,180,1969-02-03
Wayne,,Pack,Six-Pack,G,72,165,1950-07-05
Gerald,James,Paddio,,F-G,79,205,1965-04-21
Scott,Anthony,Padgett,,F,81,240,1976-04-19
Dana,P.,Pagett,,G,74,180,1949-03-29
Togo,Anthony,Palazzi,,F-G,76,205,1932-08-08
Walter,Scott,Palmer,,C-F,85,215,1968-10-23
Jannero,,Pargo,,G,74,170,1979-09-22
Robert,Lee,Parish,Chief,C,84,230,1953-08-30
Anthony,Michael,Parker,,G,76,215,1975-06-19
Barry,,Parkhill,,G,75,180,1951-05-10
Jack,Gordon,Parkinson,,G,72,174,1924-03-04
Cherokee,Bryan,Parks,,C-F,83,230,1972-10-11
Doyle,Kenneth,Parrack,,F-G,72,165,1921-12-06
Jack,,Parr,,C,81,220,1936-03-13
Chandler,,Parsons,,F,81,200,1988-10-25
Zarko,,Paspalj,,F,81,215,1966-03-27
Myles,,Patrick,,F,80,220,1954-11-19
Andrae,Malone,Patterson,,F,81,238,1975-11-12
George,,Patterson,,C-F,79.5,230,1939-11-26
Patrick,Davell,Patterson,Pat,F,81,235,1989-03-14
Ruben,Nathaniel,Patterson,Boo,F,77,224,1975-07-31
John,MacBeth,Paxson,,G,74,185,1960-09-29
Gary,Dwayne,Payton,The Glove,G,76,180,1968-07-23
George,W.,Pearcy,Wig,G,73,165,1919-07-02
Henry,Earl,Pearcy,,G,73,170,1922-07-21
Wiley,J.,Peck,,G-F,79,220,1957-09-15
Richard,Shelby,Peek,"Rich, Dick",C,83,230,1943-10-28
Anthony,Eugene,Peeler,,G,76,208,1969-11-25
George,Albert,Peeples,,C-F,79,190,1943-10-30
Nikola,,Pekovic,,F,83,243,1986-01-03
Mike,,Penberthy,,G,75,185,1973-11-29
Jerry,Lee,Pender,,G,74,185,1950-02-12
Desmond,,Penigar,,F,79,245,1981-07-16
Kirk,Samuel,Penney,,G,77,230,1980-11-23
Kendrick,Le'Dale,Perkins,,C,82,280,1984-11-10
Warren,C.,Perkins,Red,G-F,75,190,1924-02-02
Aulcie,,Perry,,C,82,210,1950-07-03
Curtis,R.,Perry,C.P.,F,79,220,1948-09-13
Elliot,Lamonte,Perry,"Socks, E.P.",G,72,150,1969-03-28
Ron,,Perry,,G,75,190,1943-12-29
Chuck,Connors,Person,The Rifleman,F,80,220,1964-06-27
Wesley,Lavon,Person,Wes,G,78,195,1971-03-28
Loy,M.,Petersen,,G,77,205,1945-07-26
Morris,,Peterson,Mo Pete,G-F,79,215,1977-08-26
Drazen,,Petrovic,,G,77,195,1964-10-22
Johan,,Petro,,C,84,247,1986-01-27
Richard,,Petruska,Rich,C-F,82,260,1969-01-25
Jerry,,Pettway,,G-F,75,185,1944-02-13
Roger,Dale,Phegley,Late Night,G-F,78,205,1956-10-16
James,J.,Phelan,Jim,G,73,175,1929-03-19
Derrick,Michael,Phelps,,G,76,181,1972-07-31
Bobby,Ray,Phills,,G,77,210,1969-12-20
Eddie,Lee,Phillips,,F,79,225,1961-09-29
Gary,A.,Phillips,The Ghost,G,75,189,1939-12-07
Eric,Todd,Piatkowski,"The Polish Rifle, Pike",G-F,79,215,1970-09-30
Paul,Anthony,Pierce,,F,78,220,1977-10-13
Ricky,Charles,Pierce,Deuces,F-G,76,205,1959-08-19
Mickael,,Pietrus,,G-F,78,200,1982-02-07
John,Gabriel,Pinone,,F,80,230,1961-02-19
Scottie,,Pippen,,F-G,79,210,1965-09-25
Dexter,Jerome,Pittman,,C,83,308,1988-03-02
Zoran,,Planinic,,G-F,79,195,1982-09-12
Gary,,Plummer,,F-C,81,215,1962-02-21
Pavel,,Podkolzin,,C,89,260,1985-01-15
Dwayne,L.,Polee,,G,77,180,1963-03-02
Scot,L.,Pollard,,C-F,82,265,1975-02-12
Ralph,M.,Polson,,F-C,79,200,1929-10-26
Olden,,Polynice,O.P.,C-F,83,220,1964-11-21
Quincy,Coe,Pondexter,,F,78,225,1988-03-10
David,,Pope,,F,79,220,1962-04-15
Mark,Edward,Pope,,F,82,235,1972-09-11
Chris,,Porter,,F,79,218,1978-05-09
Howard,,Porter,Geezer,F-C,80,220,1948-08-31
Kevin,,Porter,,G,72,170,1950-04-17
Terry,,Porter,,G,75,195,1963-04-08
Willie,William,Porter,,F,79,205,1942-07-03
James,Mikley Mantell,Posey,,G-F,79,215,1977-01-13
John,,Postley,,F,77,220,1940-05-30
Vitaly,Nikolaevich,Potapenko,The Ukraine Train,C-F,82,280,1975-03-21
Leon,,Powe,,F,80,240,1984-01-22
Marlbert,,Pradd,"Mal, Marl",G,75,170,1944-11-17
Dominic,Ivan,Pressley,,G,74,170,1964-05-30
Harold,,Pressley,,F-G,79,210,1963-07-14
Paul,Matthew,Pressey,Press,G-F,77,185,1958-12-24
Ronnie,,Price,,G,74,190,1983-06-21
Tayshaun,Durell,Prince,,F-G,81,215,1980-02-28
John,D.,Pritchard,,C,81,220,1927-01-23
Kevin,Lee,Pritchard,,G,75,180,1967-07-17
Joel,Anthony,Przybilla,,C,85,243,1979-10-10
Anthony,Quinn,Pullard,,F,82,245,1966-06-23
Brian,Ralph,Quinnett,,F,80,235,1966-05-30
Mark,Jeffrey,Radford,,G,76,190,1959-07-05
Wayne,,Radford,,G,75,205,1956-05-29
Dino,,Radja,,F-C,83,225,1967-04-24
Vladimir,,Radmanovic,,F,82,227,1980-11-19
Aleksandar,,Radojevic,Alek,C,87,242,1976-08-08
Frank,Raymond,Radovich,,F,80,235,1938-03-03
Sherwin,H.,Raiken,Shy,G,74,185,1928-10-29
Igor,,Rakocevic,White Jordan,G,74,184,1978-03-29
Frank,Vernon,Ramsey,The Kentucky Colonel,F-G,75,185,1931-07-13
Mark,Christopher,Randall,,F,79,230,1967-09-30
Kelvin,,Ransey,,G,73,170,1958-05-03
Blair,Allen,Rasmussen,,C,84,250,1962-11-13
George,,Ratkovicz,,C-F,78,220,1922-11-13
Leo,R.,Rautins,,F,80,215,1960-03-20
Allan,,Ray,,G,74,190,1984-06-17
Clifford,,Ray,Cliff,C,81,230,1949-01-21
James,Earl,Ray,James Earl,F,80,215,1957-07-27
Craig,Milford,Raymond,,C,83,235,1945-04-05
Joe,L.,Reaves,,F,77,210,1950-05-27
Zeljko,,Rebraca,Zelly,F,83,240,1972-04-09
Eldridge,David,Recasner,,G,75,190,1967-12-14
Michael,Wesley,Redd,,G,78,214,1979-08-24
Marlon,Bernard,Redmond,,G,78,188,1955-04-15
Justin,,Reed,,F,80,240,1982-01-16
Willis,,Reed,The Captain,C-F,81,235,1942-06-25
Bryant,,Reeves,Big Country,C,84,275,1973-06-08
Khalid,,Reeves,,G,75,199,1972-07-15
Don,Corey,Reid,,F,80,250,1973-12-30
Robert,Keith,Reid,,F-G,80,205,1955-08-30
Ryan,,Reid,,F,80,235,1986-10-30
Jared,Thomas,Reiner,,C,83,255,1982-04-08
Richard,Allen,Rellford,,F-G,78,230,1964-02-16
Terrence,Lamont,Rencher,,G,75,185,1973-02-19
John,William,Rennicke,,G,74,185,1929-08-11
Efthimios,,Rentzias,,C,83,243,1976-01-11
Shawn,Christopher,Respert,,G,73,195,1972-02-06
Kevin,Gilbert,Restani,"Big Bird, Mayor",F-C,81,225,1951-12-23
George,,Reynolds,,G,76,195,1947-11-23
Jerry,,Reynolds,Ice,G-F,80,198,1962-12-23
Kendall,Lee,Rhine,,C,82,230,1943-02-13
Rodrick,,Rhodes,,G-F,78,225,1973-09-24
Glen,Anthony,Rice,,F-G,79,214,1967-05-28
Clint,Dewitt,Richardson,,G,75,195,1956-08-07
Jason,Anthony,Richardson,,G-F,78,220,1981-01-20
Norm,,Richardson,,G,77,200,1979-07-24
Quentin,L.,Richardson,,G,78,223,1980-04-13
John,Fritz,Richter,,F,80,225,1937-03-12
Isaiah,,Rider,J.R.,G-F,77,215,1971-03-12
Jackie,Lendell,Ridgle,,G,76,195,1948-02-13
Antoine,Roger,Rigaudeau,"Le Roi, The King",F-G,79,210,1971-12-17
Eric,Kendall,Riley,Easy E.,C,84,245,1970-06-02
David,Lee,Rivers,,G,72,170,1965-01-20
Alvin,Cyrrale,Robertson,"The Real Steal, Junkyard Dog",G,75,185,1962-07-22
Anthony,Jerome,Roberts,,F-G,77,185,1955-04-15
Anthony,,Roberson,Peep,G,74,180,1983-02-14
Lawrence,Edward,Roberts,,F,81,240,1982-10-20
Oscar,Palmer,Robertson,"The Big O, Horse, Donut, Ozz",G-F,77,205,1938-11-24
Rick,,Roberson,,C-F,81,230,1947-07-07
Ryan,Ashley,Robertson,,G,77,190,1976-10-02
Stanley,Corvet,Roberts,,C,84,285,1970-02-07
Terrance,,Roberson,,F,79,215,1976-12-30
Bernard,Gregory,Robinson,,G-F,78,210,1980-12-26
Clifford,Ralph,Robinson,Cliff,F-C,82,225,1966-12-16
David,Maurice,Robinson,The Admiral,C,85,235,1965-08-06
Flynn,James,Robinson,"Electric Eye, Robbie",G,73,185,1941-04-28
Glenn,Alann,Robinson,Big Dog,F,79,225,1973-01-10
Jackie,,Robinson,,F,78,210,1955-05-20
James,,Robinson,Hollywood,G,74,180,1970-08-31
Jamal,Tyrone,Robinson,,F,79,195,1973-12-27
Larry,,Robinson,,F-G,75,180,1968-01-11
Oliver,Leon,Robinson,Little O,G,76,180,1960-03-13
Ronnie,,Robinson,,F,80,200,1951-03-09
Rumeal,James,Robinson,Meal Time,G,74,195,1966-11-13
Wayne,Howard,Robinson,,F,80,217,1958-04-19
John,Michael,Roche,Johnny,G,74,160,1949-09-26
Jack,L.,Rocker,,C-F,77,185,1922-08-12
Guy,William,Rodgers,Cootie Brown,G,72,185,1935-09-01
Dennis,Keith,Rodman,Worm,F,79,210,1961-05-13
Carlos,Deon,Rogers,Bonz,C-F,82,220,1971-02-06
Harry,Jerome,Rogers,Tree,F,79,195,1950-12-31
Marshall,Lee,Rogers,,G,73,190,1953-08-27
Rodney,Ray,Rogers,,F,79,235,1971-06-20
Roy,,Rogers,,F,82,235,1973-08-19
Willie,Daniel,Rogers,Willie D.,G-F,75,185,1945-09-11
Lorenzo,,Romar,Lomo,G,73,175,1958-11-13
Rajon,Pierre,Rondo,,F,73,171,1986-02-22
Jerry,G.,Rook,,F,77,219,1943-10-27
Sean,Lester,Rooks,Wookie,C,82,250,1969-09-09
Jalen,,Rose,,G,80,210,1973-01-30
Malik,Jabari,Rose,,F,79,240,1974-11-23
Quinton,Lenord,Ross,,G,78,193,1981-04-30
Scott,Edward,Roth,Air Alf,F,78,212,1963-06-03
Curtis,,Rowe,,F,79,225,1949-07-02
Derrick,,Rowland,,G,77,195,1959-06-21
Brian,Maurice,Rowsom,,F,81,220,1965-10-23
Donald,Adam,Royal,D. Rock,F,80,210,1966-05-22
Brandon,DaWayne,Roy,,G,78,215,1984-07-23
Clifford,Glen,Rozier,Cliff,C-F,83,245,1972-10-31
Guy,,Rucker,,F-C,81,235,1977-07-27
John,William,Rudd,,F,79,230,1955-08-07
John,,Rudometkin,Rudo,F,78,205,1940-06-06
Michael,David,Ruffin,,F,80,246,1977-01-21
Trevor,,Ruffin,,G,73,185,1970-09-26
Paul,,Ruffner,,C-F,82,225,1948-10-15
Stefano,,Rusconi,Rusca,C-F,81,240,1968-10-02
Brandon,Leray,Rush,,G,78,210,1985-07-07
Kareem,Lamar,Rush,,G,78,215,1980-10-30
Bryon,Demetrise,Russell,,F,79,225,1970-12-31
Cazzie,Lee,Russell,,F-G,77,210,1944-06-07
Frank,,Russell,,G,75,180,1949-04-17
Rubin,B.,Russell,Rube,G,74,180,1944-11-07
Walker,D.,Russell,,G,77,195,1960-10-26
Arvydas,Romas,Sabonis,,C,87,279,1964-12-19
John,Rashall,Salmons,,G-F,78,210,1979-12-12
Kevin,Michael,Salvadori,,C,84,231,1970-12-30
Soumaila,,Samake,,C,85,224,1978-03-18
Ralph,Lee,Sampson,,C-F,88,228,1960-07-07
Samardo,,Samuels,,F,81,260,1989-01-09
Frankie,J.,Sanders,,F-G,78,195,1957-01-23
Larry,,Sanders,,F,83,235,1988-11-21
Melvin,,Sanders,,G-F,77,210,1981-01-03
Ron,,Sanford,,F,81,215,1946-06-11
Wayne,B.,Sappleton,,F,81,215,1960-11-17
Jason,Jermane,Sasser,,F,79,210,1974-01-13
Jeryl,Henry Braxton,Sasser,,G,78,200,1979-02-13
Glynn,,Saulters,,G,74,175,1945-02-10
Predrag,,Savovic,,G-F,77,225,1976-05-21
Alan,Leigh,Sawyer,,F,77,195,1928-01-01
Brian,David,Scalabrine,,F,81,240,1978-03-18
Alex,,Scales,,G,76,185,1978-07-03
DeWayne,Jay,Scales,Hot Man,F,80,208,1958-12-28
Frank,,Schade,,G,73,170,1950-01-22
Luke,Dean,Schenscher,,C,85,255,1982-12-31
Dwayne,Kenneth,Schintzius,,C,85,260,1968-10-14
Dale,Wayne,Schlueter,,C,82,225,1945-11-12
Otto,Ole,Schnellbacher,"The Claw, Snelly",F-G,74,183,1923-04-15
Detlef,,Schrempf,,F-C,81,214,1963-01-21
Roger,Paul,Schurig,,G,75,185,1942-04-03
John,Elwood,Schweitz,,G,78,210,1960-04-19
Fred,J.,Scolari,"Freddie, Fat Freddie, Blubber",G,70,175,1922-03-01
Alvin,Leroy,Scott,,F-G,79,185,1955-09-14
Brent,Steven,Scott,,F-C,82,250,1971-06-15
Byron,Antom,Scott,,G,75,195,1961-03-28
Dennis,Eugene,Scott,,G-F,80,229,1968-09-05
James,Lamont,Scott,,F,78,180,1972-06-06
Shawnelle,,Scott,,C,82,250,1972-06-16
Willie,,Scott,,F,77,210,1947-05-22
Paul,Earl,Scranton,,F,77,230,1944-04-30
Carey,,Scurry,,F,79,188,1962-12-04
Bruce,A.,Seals,,F,80,210,1953-06-18
Shea,,Seals,,G,77,210,1975-08-26
Malik,,Sealy,,F-G,80,190,1970-02-01
Thabo,Patrick,Sefolosha,,G,77,215,1984-05-02
Rony,F.,Seikaly,,C,83,230,1965-05-10
Mouhamed,Saer,Sene,,F,83,230,1986-05-12
George,Lawrence,Senesky,,G,74,179,1922-04-04
Kevin,,Seraphin,,F,81,275,1989-12-07
Ansu,Martin,Sesay,,F,80,223,1976-07-29
Ha,,Seung-Jin,,C,87,305,1985-08-04
Tom,,Sewell,,G,77,165,1962-03-11
Paul,Norman,Seymour,,G-F,73,180,1928-01-30
Charles,Edward,Shackleford,Klondike,F-C,82,225,1966-04-22
Carl,Edgel,Shaeffer,,F-G,75,185,1924-10-25
Lee,Philip,Shaffer,,F,79,215,1939-02-23
God,,Shammgod,AKA Shammgod Wells,G,72,169,1976-04-29
Earl,F.,Shannon,,G-F,71,170,1921-11-23
John,Paul,Shasky,,C,83,235,1964-07-31
Brian,K.,Shaw,,G,78,190,1966-03-22
Craig,Anthony,Shelton,,F,79,205,1957-05-01
Lonnie,Jewel,Shelton,,F-C,80,240,1955-10-19
Billy,L.,Shepherd,,G,70,160,1949-11-18
Paul,,Shirley,,F,82,210,1977-12-23
Purvis,,Short,,F-G,79,210,1957-07-02
Dexter,Wayne,Shouse,,G,74,200,1963-03-24
John,H.,Shumate,,F-C,81,235,1952-04-06
Sam,Lewis,Sibert,,F,79,215,1949-02-11
Jerry,Lee,Sichting,,G,73,168,1956-11-29
Larry,E.,Siegfried,,F,73,190,1939-05-22
Ralph,Paul,Siewert,Sky,C,85,230,1923-12-31
Jack,Wayne,Sikma,"Blonde Angel, Captain Jack",C-F,83,230,1955-11-14
James,Edward,Silas,"Snake, Captain Late",G,73,180,1949-02-11
Paul,Theron,Silas,Shotgun,F-C,79,215,1943-07-12
Xavier,James,Silas,,G,77,205,1988-01-22
Garret,Andrew,Siler,,C,83,305,1986-10-25
Wayne,Anthony,Simien,Big Dub,F,81,255,1983-03-09
Bobby,,Simmons,,G-F,78,210,1980-06-02
Cedric,,Simmons,,F,81,235,1986-01-03
Grant,M.,Simmons,,G,75,190,1943-03-07
Lionel,James,Simmons,"Train, L-Train",F-G,79,210,1968-11-14
Miles,Julian,Simon,,G,75,202,1975-11-21
Ralph,Derek,Simpson,,G-F,77,200,1949-08-10
Alvin,,Sims,,G,76,235,1974-10-18
Scott,Alan,Sims,,G,73,170,1955-04-18
James,,Singleton,,F,80,215,1981-07-20
McKinley,,Singleton,,G,77,175,1961-10-29
Scott,Allen,Skiles,,G,73,180,1964-03-05
Brian,,Skinner,,F-C,81,255,1976-05-19
Jose,Dan,Slaughter,,G,77,205,1960-09-09
Tamar,Ulysses,Slay,,G,81,215,1980-04-02
Donald,Wayne,Sloan,,G,75,205,1988-01-15
Uros,,Slokar,,F,82,238,1983-05-14
Tom,Griffin,Sluby,,G,76,200,1962-02-18
Belus,Van,Smawley,,G-F,73,195,1918-03-20
Adrian,Howard,Smith,"Odie, Smitty",G,73,180,1936-10-05
Charles,Daniel,Smith,,F-C,82,230,1965-07-16
Charles,Edward,Smith,,G,73,160,1967-11-29
Chris,G.,Smith,,G,75,190,1970-05-17
Charles,Cornelius,Smith,,G,76,194,1975-08-22
Clinton,,Smith,,F,78,210,1964-01-19
Craig,,Smith,,F,79,250,1983-11-10
Derek,Ervin,Smith,,G-F,78,205,1961-11-01
Donta,Lamont,Smith,,G,79,215,1983-11-27
Elmore,,Smith,,C,84,250,1949-05-09
Garfield,,Smith,,C-F,81,235,1945-11-18
Ishmael,Larry,Smith,Ish,G,72,175,1988-07-05
Jerry,,Smith,,G,74,190,1987-09-26
John,,Smith,,C,84,235,1944-05-24
Keith,LeWayne,Smith,,G,75,180,1964-03-09
Larry,,Smith,Mr. Mean,F-C,80,215,1958-01-18
LaBradford,Corvey,Smith,L.A.,G,75,200,1969-04-03
Leon,,Smith,,F,82,235,1980-11-02
Michael,John,Smith,,F,82,225,1965-05-19
Michael,John,Smith,The Animal,F,80,230,1972-03-28
Mike,,Smith,"Smitty, Big Smooth Mike",F,80,195,1976-04-15
Nolan,Derek,Smith,,G,74,185,1988-07-25
Otis,Fitzgerald,Smith,,G-F,77,210,1964-01-30
Robert,Leroy,Smith,,G,71,165,1955-03-10
Sam,,Smith,,F,79,230,1944-01-27
Sam,,Smith,,G,76,200,1955-01-08
Stevin,L.,Smith,Hedake,G,74,208,1972-01-24
Steven,Alexander,Smith,,F,81,225,1983-04-12
Theron,Augustus,Smith,,F,80,225,1980-10-03
William,A.,Smith,Bill,C,84,220,1949-02-14
Rik,,Smits,The Dunking Dutchman,C,88,250,1966-08-23
Eric,,Snow,,G,75,190,1973-04-24
Kirk,Patrick,Snyder,,G,78,225,1983-06-05
Ricky,Brad,Sobers,,G,75,198,1953-01-15
Mike,,Sojourner,,C-F,81,225,1953-10-16
Darius,,Songaila,,F,81,248,1978-02-14
Gino,,Sovran,,F-G,74,175,1924-12-17
Pape,,Sow,,F,82,250,1981-11-22
Guy,Paul Joseph,Sparrow,The Bird,F,78,218,1932-11-02
Rory,Darnell,Sparrow,,G,74,175,1958-06-12
Andre,,Spencer,,F,78,210,1964-07-20
Elmore,,Spencer,,C,84,270,1969-12-06
Felton,LaFrance,Spencer,Big Felton,C,84,265,1968-01-15
Craig,W.,Spitzer,,C,84,225,1945-12-18
Latrell,Fontaine,Sprewell,Spree,G,77,190,1970-09-08
Larry,Michael,Spriggs,,F,79,230,1959-09-08
Jerry,Darnell,Stackhouse,,G-F,78,218,1974-11-05
Ryan,Eugene,Stack,,F,83,215,1975-07-24
Kevin,M.,Stacom,,G,75,185,1951-09-04
Terence,R.,Stansbury,,G,77,170,1961-02-27
John,Levell,Starks,,G,75,180,1965-08-10
Keith,Edward,Starr,,G-F,78,190,1954-03-14
Larry,Joseph,Staverman,Staves,F,79,205,1936-10-11
Larry,Nelson,Steele,,G-F,77,180,1949-05-05
Vladimir,,Stepania,,C,84,236,1976-08-05
Everette,Louis,Stephens,,G,74,175,1966-10-21
Joe,,Stephens,,F,79,210,1973-01-28
Lance,,Stephenson,,G,77,210,1990-09-05
Barry,Wayne,Stevens,,G-F,77,190,1963-01-17
DeShawn,,Stevenson,,G,77,210,1981-04-03
Wayne,,Stevens,Steve,F-G,75,185,1936-06-19
Dennis,Edward,Stewart,,F,78,220,1947-04-11
Kebu,,Stewart,,F,80,239,1973-12-19
Larry,,Stewart,,F,80,220,1968-09-21
Michael,Curtis,Stewart,Yogi,C,82,230,1975-04-24
Bryant,Lamonica,Stith,Puddin',G,77,208,1970-12-10
Alex,Frank,Stivrins,,F,80,215,1962-11-29
John,Houston,Stockton,Stock,G,73,170,1962-03-26
Maurice,,Stokes,"Mo, Big Mo",F-C,79,232,1933-06-17
George,E.,Stone,"Radar, Rocky",F,79,195,1946-02-09
Julyan,Ray,Stone,,G,78,200,1988-12-07
Awvee,,Storey,,F,78,225,1977-04-18
Damon,Lamon,Stoudamire,,G,70,171,1973-09-03
Paul,L.,Stovall,,F,76,215,1948-08-16
Joe,Tom,Strawder,,C,82,230,1940-09-21
Mark,,Strickland,The Pogo Man,F,81,210,1970-07-14
Roger,W.,Strickland,The Rifle,F,77,200,1940-09-04
John,,Stroeder,,F,82,250,1958-07-24
Derek,Lamar,Strong,,F,80,220,1968-02-09
John,Busby,Stroud,,F,79,215,1957-10-29
Gary,G.,Suiter,,C-F,81,225,1945-01-18
Barry,,Sumpter,,F-C,83,215,1965-11-11
Don,J.,Sunderlage,,G,73,180,1929-12-20
Bruno,,Sundov,,C,86,220,1980-02-10
Jon,Thomas,Sundvold,Sunny,G,74,170,1961-07-02
George,Joseph,Sutor,Bird,C,80,235,1943-09-14
Dane,Lee,Suttle,,G,75,190,1961-08-09
Keith,M.,Swagerty,,F,79,235,1945-10-30
Robert,,Swift,,C,84,245,1985-12-03
Stromile,,Swift,,F,81,220,1979-11-21
Aaron,Anthony,Swinson,,F,77,230,1971-01-09
Larry,,Sykes,,F,81,255,1973-04-11
Pape,Ousseynou,Sy,,F-G,79,225,1988-04-05
Brett,Leon,Szabo,,C,83,230,1968-02-01
Zan,,Tabak,,C,84,245,1970-06-15
Yuta,,Tabuse,,G,69,165,1980-10-05
Dragan,,Tarlac,,F-C,82,260,1973-05-09
Roy,James,Tarpley,,C-F,83,230,1964-11-28
Levern,Donihue,Tart,"Doc, Jelly",G-F,74,195,1942-06-01
Anthony,Paul,Taylor,,G,76,175,1965-11-30
Brian,Dwight,Taylor,,G,74,185,1951-06-09
Johnny,Antonio,Taylor,,F,80,220,1974-06-04
Leonard,Chester,Taylor,,F,80,220,1966-05-02
Maurice,De Shawn,Taylor,,F,81,260,1976-10-30
Terry,Michael,Teagle,,F-G,77,195,1960-04-10
Sebastian,,Telfair,,G,72,165,1985-06-09
Collis,,Temple,,F,80,220,1952-11-08
Ira,Edmondson,Terrell,,F-C,80,200,1954-06-19
Carlos,Fernando,Terry,,G-F,76.5,210,1956-06-22
Claude,Lewis,Terry,,G-F,76,195,1950-01-12
Jason,Eugene,Terry,,G,74,172,1977-09-15
Floyd,,Theard,,G,73,170,1944-09-05
Reggie,Wayne,Theus,,G,78,190,1957-10-13
Peter,C.,Thibeaux,,F,79,210,1961-10-03
Justus,,Thigpen,,G,73,160,1947-08-13
David,,Thirdkill,,F-G,79,195,1960-04-12
Billy,,Thomas,,G,76,208,1975-12-23
Carl,,Thomas,,G,76,175,1969-10-03
Charles,,Thomas,,G,75,175,1969-10-03
Irving,,Thomas,,F,80,225,1966-01-02
Isiah,Lord,Thomas,Zeke,G,73,180,1961-04-30
Isaiah,,Thomas,,G,69,185,1989-02-07
Jamel,,Thomas,,F,78,215,1973-03-25
James,,Thomas,,F,80,235,1980-11-22
John,G.,Thomas,,F-C,81,265,1975-09-08
Kurt,Vincent,Thomas,,F,81,230,1972-10-04
Lance,,Thomas,,F,80,225,1988-04-24
Malcolm,,Thomas,,F,81,225,1988-11-08
Terry,C.,Thomas,,F,80,220,1953-08-20
Tyrus,Wayne,Thomas,,F,81,215,1986-08-17
Bernard,,Thompson,,F-G,78,207,1962-08-30
Brooks,James,Thompson,,G,76,193,1970-07-19
David,O'Neil,Thompson,D.T.,G-F,76,195,1954-07-13
Dijon,Lynn,Thompson,,G-F,79,195,1983-02-23
George,,Thompson,"Tip, Tipper",G,74,200,1947-11-29
John,R.,Thompson,,F,82,225,1941-09-02
Kevin,Lamont,Thompson,,C-F,83,260,1971-02-07
Klay,Alexander,Thompson,,G,79,205,1990-02-08
LaSalle,,Thompson,Tank,C-F,82,245,1961-06-23
Mychal,George,Thompson,Mike,C-F,82,226,1955-01-30
Mychel,,Thompson,,F,78,211,1988-06-01
Paul,Stanford,Thompson,,G-F,78,210,1961-05-25
Stephen,M.,Thompson,,G,75,180,1968-12-02
Tristan,Trevor James,Thompson,,F,81,227,1991-03-13
Dallas,,Thornton,Big D,G,76,190,1946-09-01
Otis,Henry,Thorpe,O.T.,F-C,81,225,1962-08-05
Sedale,Eugene,Threatt,The Thief,G,74,175,1961-09-10
Darren,,Tillis,,C-F,83,215,1960-02-23
George,T.,Tinsley,,F,77,205,1946-09-19
Jamaal,,Tinsley,,G,75,185,1978-02-28
Wayman,Lawrence,Tisdale,Mr. T,F-C,80,240,1964-06-09
Andrew,,Toney,Boston Strangler,G,75,178,1957-11-23
Sedric,Andre,Toney,,G,74,178,1962-04-13
Bernard,A.,Toone,,F,81,210,1956-07-14
Monte,Corwin,Towe,,G,67,145,1953-09-27
Keith,Raymond,Tower,,C-F,83,250,1970-05-15
Linton,Rodney,Townes,,F-G,78,190,1959-11-30
Raymond,Anthony,Townsend,,G,75,175,1955-12-20
George,,Trapp,Instant Heat,F-C,80,205,1948-07-11
John,Quincy,Trapp,John Q.,F,79,210,1945-10-02
Robert,DeShaun,Traylor,Tractor,F,80,284,1977-02-01
Gary,Dajaun,Trent,Shaq of the Mac,F,80,250,1974-09-22
John,B.,Tresvant,Tres,F-C,79,215,1939-11-06
